x,y,z,tonnage,grade,economic_value,reserve
0,0,0,1000,0.1017,-14913.57,-1
0,0,1,1000,0.1263,-13683.1,-1
0,0,2,1000,0.161,-11948.1,-1
0,0,3,1000,0.1744,-11280.27,-1
0,0,4,1000,0.1657,-11716.62,-1
0,0,5,1000,0.1654,-11730.09,-1
0,0,6,1000,0.1827,-10866.32,-1
0,0,7,1000,0.1847,-10765.37,-1
0,0,8,1000,0.1695,-11524.69,-1
0,0,9,1000,0.1304,-13480.78,-1
0,1,0,1000,0.1055,-14726.02,-1
0,1,1,1000,0.1344,-13280.66,-1
0,1,2,1000,0.1748,-11261.9,-1
0,1,3,1000,0.1953,-10232.64,-1
0,1,4,1000,0.1951,-10244.83,-1
0,1,5,1000,0.2001,-9994.23,-1
0,1,6,1000,0.213,-9352.28,-1
0,1,7,1000,0.2062,-9691.8,-1
0,1,8,1000,0.1757,-11216.19,-1
0,1,9,1000,0.1306,-13468.45,-1
0,2,0,1000,0.1247,-13765.29,-1
0,2,1,1000,0.1611,-11944.1,-1
0,2,2,1000,0.1924,-10380.92,-1
0,2,3,1000,0.2213,-8934.02,-1
0,2,4,1000,0.245,-7751.51,-1
0,2,5,1000,0.244,-7801.18,-1
0,2,6,1000,0.2255,-8725.27,-1
0,2,7,1000,0.201,-9949.53,-1
0,2,8,1000,0.1668,-11657.55,-1
0,2,9,1000,0.1341,-13293.56,-1
0,3,0,1000,0.1327,-13364.11,-1
0,3,1,1000,0.1733,-11336.73,-1
0,3,2,1000,0.1994,-10029.48,-1
0,3,3,1000,0.2329,-8354.54,-1
0,3,4,1000,0.2738,-6311.03,-1
0,3,5,1000,0.2846,-5771.55,-1
0,3,6,1000,0.2561,-7193.4,-1
0,3,7,1000,0.221,-8951.35,-1
0,3,8,1000,0.1886,-10571.21,-1
0,3,9,1000,0.1618,-11911.03,-1
0,4,0,1000,0.1277,-13617.04,-1
0,4,1,1000,0.1719,-11403.5,-1
0,4,2,1000,0.2065,-9676.87,-1
0,4,3,1000,0.2414,-7932.14,-1
0,4,4,1000,0.2857,-5717.02,-1
0,4,5,1000,0.3199,-4005.09,-1
0,4,6,1000,0.3018,-4909.47,-1
0,4,7,1000,0.26,-7002.4,-1
0,4,8,1000,0.2236,-8818.49,-1
0,4,9,1000,0.19,-10498.87,-1
0,5,0,1000,0.1349,-13252.66,-1
0,5,1,1000,0.192,-10402.47,-1
0,5,2,1000,0.2452,-7738.43,-1
0,5,3,1000,0.2713,-6433.01,-1
0,5,4,1000,0.2977,-5113.95,-1
0,5,5,1000,0.3365,-3175.98,-1
0,5,6,1000,0.323,-3851.7,-1
0,5,7,1000,0.2726,-6370.5,-1
0,5,8,1000,0.2386,-8069.88,-1
0,5,9,1000,0.1974,-10127.74,-1
0,6,0,1000,0.1575,-12124.91,-1
0,6,1,1000,0.2255,-8725.01,-1
0,6,2,1000,0.2853,-5733.34,-1
0,6,3,1000,0.3023,-4884.16,-1
0,6,4,1000,0.3162,-4187.82,-1
0,6,5,1000,0.3516,-2422.11,-1
0,6,6,1000,0.3365,-3174.14,-1
0,6,7,1000,0.2806,-5970.29,-1
0,6,8,1000,0.2527,-7365.33,-1
0,6,9,1000,0.2082,-9589.19,-1
0,7,0,1000,0.177,-11151.21,-1
0,7,1,1000,0.2485,-7574.77,-1
0,7,2,1000,0.3049,-4754.51,-1
0,7,3,1000,0.3194,-4031.51,-1
0,7,4,1000,0.3327,-3365.36,-1
0,7,5,1000,0.3681,-1593.02,-1
0,7,6,1000,0.3562,-2189.89,-1
0,7,7,1000,0.302,-4898.72,-1
0,7,8,1000,0.2774,-6127.9,-1
0,7,9,1000,0.23,-8499.82,-1
0,8,0,1000,0.1949,-10255.27,-1
0,8,1,1000,0.2646,-6770.81,-1
0,8,2,1000,0.3252,-3741.89,-1
0,8,3,1000,0.3457,-2714.67,-1
0,8,4,1000,0.3445,-2775.93,-1
0,8,5,1000,0.3435,-2824.58,-1
0,8,6,1000,0.344,-2800.06,-1
0,8,7,1000,0.3166,-4169.38,-1
0,8,8,1000,0.287,-5647.64,-1
0,8,9,1000,0.2281,-8592.98,-1
0,9,0,1000,0.1884,-10580.67,-1
0,9,1,1000,0.2549,-7252.6,-1
0,9,2,1000,0.329,-3548.85,-1
0,9,3,1000,0.3605,-1975.22,-1
0,9,4,1000,0.3527,-2363.89,-1
0,9,5,1000,0.3463,-2683.52,-1
0,9,6,1000,0.3693,-1537.28,-1
0,9,7,1000,0.3579,-2105.99,-1
0,9,8,1000,0.3106,-4471.4,-1
0,9,9,1000,0.2341,-8293.44,-1
0,10,0,1000,0.1772,-11138.16,-1
0,10,1,1000,0.2432,-7839.21,-1
0,10,2,1000,0.3256,-3718.02,-1
0,10,3,1000,0.3624,-1881.49,-1
0,10,4,1000,0.3622,-1891.71,-1
0,10,5,1000,0.3895,-524.05,-1
0,10,6,1000,0.4298,1491.71,-1
0,10,7,1000,0.4104,518.79,-1
0,10,8,1000,0.3469,-2654.02,-1
0,10,9,1000,0.2581,-7092.89,-1
0,11,0,1000,0.1806,-10972.3,-1
0,11,1,1000,0.244,-7799.42,-1
0,11,2,1000,0.3328,-3357.78,-1
0,11,3,1000,0.378,-1101.74,-1
0,11,4,1000,0.3882,-588.68,-1
0,11,5,1000,0.4391,1954.31,-1
0,11,6,1000,0.4756,3781.32,-1
0,11,7,1000,0.4359,1797.32,-1
0,11,8,1000,0.3558,-2211.76,-1
0,11,9,1000,0.2618,-6912.43,-1
0,12,0,1000,0.1926,-10370.66,-1
0,12,1,1000,0.2534,-7327.54,-1
0,12,2,1000,0.3398,-3010.37,-1
0,12,3,1000,0.3872,-638.68,-1
0,12,4,1000,0.3973,-135.09,-1
0,12,5,1000,0.4301,1504.57,-1
0,12,6,1000,0.4433,2162.87,-1
0,12,7,1000,0.3973,-137.08,-1
0,12,8,1000,0.3336,-3321.58,-1
0,12,9,1000,0.2537,-7316.35,-1
0,13,0,1000,0.189,-10550.77,-1
0,13,1,1000,0.2477,-7614.45,-1
0,13,2,1000,0.3284,-3579.35,-1
0,13,3,1000,0.3735,-1323.42,-1
0,13,4,1000,0.3822,-891.93,-1
0,13,5,1000,0.4028,142.4,-1
0,13,6,1000,0.408,400.38,-1
